icao_code;name_rus;name_eng;city_rus;city_eng;country_rus;runway_headings
;Ангуганак;Anguganak;Ангуганак;Anguganak;Папуа - Новая Гвинея;
OEPS;;Prince Sultan Air Base;;Al Kharj;Саудовская Аравия;
PFAK;;Akiak;;Akiak;США;
RJEC;Асахикава;Asahikawa;Асахикава;Asahikawa;Япония;16:164°,34:344°
PAKH;;Akhiok SPB;;Akhiok;США;
NZAA;;Auckland International;Окленд;Auckland;Новая Зеландия;
;Закума;Zakouma;Закума;Zakouma;Чад;
PAKN;;King Salmon;;King Salmon;США;
KAKO;;Colorado Plains Regional Airport;Akron;Akron, CO;США;
PAKP;;Anaktuvuk;;Anaktuvuk;США;
WIAG;;Gunung Batin;Астраксетра;Astraksetra;Индонезия;
DNAK;Акере;Akure;Акере;Akure;Нигерия;03:026°,21:206°
LCRA;;Akrotiri Raf;Акротири;Akrotiri;Кипр;
ZWAK;Аксу;Aksu;Аксу;Aksu;Китай;
CYKO;;Akulivik;;Akulivik;Канада;08:079°,26:259°
PAKW;;Aghajari;;Aghajari;Иран;
UATT;Актюбинск;Aktyubinsk;Актюбинск;Aktyubinsk;Казахстан;
VYSW;;Civil;;Sittwe;Мьянма;
UAAA;Алматы;Almaty;Алматы;Almaty;Казахстан;
KALB;Олбани международный;Albany International;Олбани;Albany;США;
LEAL;;Alicante El Altet;Аликанте;Alicante;Испания;
SPAR;Алерта;Alerta;Алерта;Alerta;Перу;
;;Alpine;;Alpine;США;
ENAT;Альта;Alta;Алта;Alta;Норвегия;11:109°,29:289°
DAAG;;Houari Boumediene;;Algiers;Алжир;
YABA;Олбани;Albany;Олбани;Albany;Австралия;14:137°,32:317°,05:047°,23:227°
KALI;;International;;Alice;США;
FAAB;Кортдум;Kortdoorn;Александер-Бей;Alexander Bay;ЮАР;
;Асела;Asela;Асела;Asela;Эфиопия;
LIMG;Албенга;Albenga;Албенга;Albenga;Италия;09:091°,27:271°
KALM;;Municipal;Аламогордо;Alamogordo;США;
KALN;Альтон;Alton;;Alton;США;
KALO;Ватерло;Waterloo;Ватерло;Waterloo;США;
OSAP;;Nejrab;Алеппо;Aleppo;Сирия;
SSAL;;Federal;;Alegrete;Бразилия;
NZLX;Александра;Alexandra;Александра;Alexandra;Новая Зеландия;14:135°,14:135°,01:005°,19:185°
KALS;;Municipal;Аламоса;Alamosa;США;
;;Alenquer;;Alenquer;Бразилия;
HCMA;Алула;Alula;Алула;Alula;Сомали;
;;Andorra La Vella H/P;Андорра-ла-Велла;Andorra La Vella;Андорра;
KALW;;Walla Walla;;Walla Walla;США;
KALX;;Thomas C Russell Fld;;Alexander City;США;
HEAX;;El Nohza;Александрия;Alexandria;Египет;
KALZ;;Alitak SPB;;Alitak;США;
KAMA;;Rick Husband Amarillo International;;Amarillo, TX;США;
FMNE;Амбилобе;Ambilobe;Амбилобе;Ambilobe;Мадагаскар;11:115°,29:295°
FTTN;;Am Timan;;Am Timan;Чад;
VAAH;Ахмедабад;Ahmedabad;Ахмедабад;Ahmedabad;Индия;
;Альто-Молокуэ;Alto Molocue;Альто-Молокуэ;Alto Molocue;Мозамбик;
;Ама;Ama;Ама;Ama;Папуа - Новая Гвинея;
;;Amboin;;Amboin;Папуа - Новая Гвинея;
HAAM;Арба-Минч;Arba Mintch;Арба-Минч;Arba Mintch;Эфиопия;
WADA;;Selaparang;;Mataram;Индонезия;09:088°,27:268°
SNAR;Альменара;Almenara;;Almenara;Бразилия;
;;Animas Airpark;Дуранго;Durango;США;
;;Puerto Armuellas;;Puerto Armuellas;Панама;
OJAI;;Queen Alia Intl;Амман;Amman;Иордания;
KAMN;;Gratiot Community;;Alma;США;
FTTU;Мао;Mao;Мао;Mao;Чад;
FMSY;Ампанихи;Ampanihy;Ампанихи;Ampanihy;Мадагаскар;
WAPP;;Pattimura;Амбон;Ambon;Индонезия;04:044°,22:224°
;Арно;Arno;Арно;Arno;Маршалловы острова;
EHAM;;Amsterdam-Schiphol;Амстердам;Amsterdam;Нидерланды;18:182°,09:086°,27:266°,06:057°,24:237°,18:182°,18:182°,04:040°,22:220°
YAMT;Амата;Amata;;Amata;Австралия;
;Аманаб;Amanab;Аманаб;Amanab;Папуа - Новая Гвинея;
ULDD;Амдерма аэропорт;Amderma Airport;Амдерма;Amderma;Россия;07:073°,25:253°
KAMW;Амес;Ames;;Ames;США;
YAMM;;Ammaroo;;Ammaroo;Австралия;
;Амбатомаинти;Ambatomainty;Амбатомаинти;Ambatomainty;Мадагаскар;
NZAR;Ардмор;Ardmore;Ардмор;Ardmore;Новая Зеландия;03:026°
KANA;;Orange County Steel Salvage Heliport;Анахайм;Anaheim;США;
KANB;;Anniston Metropolitan;;Anniston;США;
PANC;;Ted Stevens Anchorage International Airport;Анкораж;Anchorage;США;
KAND;Андерсон;Anderson;;Anderson;США;
LFJR;;Marce;Анжер;Angers;Франция;
SCFA;;Cerro Moreno;Антофагаста;Antofagasta;Чили;
LFBU;;Brie-Champniers;Ангулем;Angouleme;Франция;
;;Anuha Island Resort;;Anuha Island Resort;Соломоновы острова;
PANI;;Aniak;;Aniak;США;
FCBZ;Занага;Zanaga;Занага;Zanaga;Конго;
LTAD;;Etimesgut;Анкара;Ankara;Турция;
FNAL;Андуло;Andulo;Андуло;Andulo;Ангола;
